period,subba,subba-name,parent,parent-name,timezone,value,value-units
2025-10-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1977,megawatthours
2025-10-29,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1977,megawatthours
2025-10-28,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,246932,megawatthours
2025-10-28,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,246827,megawatthours
2025-10-28,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,246808,megawatthours
2025-10-28,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,246857,megawatthours
2025-10-28,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,246932,megawatthours
2025-10-28,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,303876,megawatthours
2025-10-28,SCE,Southern California Edison,CISO,California Independent System Operator,Central,302562,megawatthours
2025-10-28,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,301568,megawatthours
2025-10-28,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,303301,megawatthours
2025-10-28,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,303876,megawatthours
2025-10-28,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,54307,megawatthours
2025-10-28,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,54154,megawatthours
2025-10-28,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,54030,megawatthours
2025-10-28,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,54243,megawatthours
2025-10-28,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,54307,megawatthours
2025-10-28,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1971,megawatthours
2025-10-28,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1971,megawatthours
2025-10-28,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1972,megawatthours
2025-10-28,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1971,megawatthours
2025-10-28,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1971,megawatthours
2025-10-27,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,253173,megawatthours
2025-10-27,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,253093,megawatthours
2025-10-27,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,252678,megawatthours
2025-10-27,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,253128,megawatthours
2025-10-27,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,253173,megawatthours
2025-10-27,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,285599,megawatthours
2025-10-27,SCE,Southern California Edison,CISO,California Independent System Operator,Central,283747,megawatthours
2025-10-27,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,282598,megawatthours
